Channel,Video_ID,Negative,Neutral,Positive
Marques Brownlee,PHcDrXeyguM,0.010356646031141281,0.0747690349817276,0.9148743152618408
Marques Brownlee,PHcDrXeyguM,0.0027567255310714245,0.02884042263031006,0.9684029221534729
Marques Brownlee,PHcDrXeyguM,0.24564480781555176,0.4656205177307129,0.28873470425605774
Marques Brownlee,PHcDrXeyguM,0.17965300381183624,0.5833924412727356,0.23695452511310577
Marques Brownlee,PHcDrXeyguM,0.010300758294761181,0.09171971678733826,0.8979795575141907
Marques Brownlee,PHcDrXeyguM,0.2542682886123657,0.49555686116218567,0.2501749098300934
Marques Brownlee,PHcDrXeyguM,0.04698443040251732,0.5499545335769653,0.4030610918998718
Marques Brownlee,PHcDrXeyguM,0.010151970200240612,0.11046385765075684,0.8793841600418091
Marques Brownlee,PHcDrXeyguM,0.05807873234152794,0.38854485750198364,0.5533763766288757
Marques Brownlee,PHcDrXeyguM,0.11796574294567108,0.5216135382652283,0.36042070388793945
Marques Brownlee,PHcDrXeyguM,0.019565675407648087,0.15378016233444214,0.8266541957855225
Marques Brownlee,PHcDrXeyguM,0.0020977111998945475,0.024998242035508156,0.9729040265083313
Marques Brownlee,PHcDrXeyguM,0.0014219791628420353,0.020463643595576286,0.9781143665313721
Marques Brownlee,PHcDrXeyguM,0.20202089846134186,0.5961578488349915,0.20182126760482788
Marques Brownlee,PHcDrXeyguM,0.00924538355320692,0.354716956615448,0.6360376477241516
Marques Brownlee,PHcDrXeyguM,0.014339517802000046,0.09749763458967209,0.8881627917289734
Marques Brownlee,PHcDrXeyguM,0.0035757971927523613,0.048307113349437714,0.9481170773506165
Marques Brownlee,PHcDrXeyguM,0.0703377053141594,0.34454602003097534,0.5851162672042847
Marques Brownlee,PHcDrXeyguM,0.006303488742560148,0.04549345746636391,0.9482030272483826
Marques Brownlee,PHcDrXeyguM,0.004190010949969292,0.04214567691087723,0.9536643624305725
Marques Brownlee,PHcDrXeyguM,0.8290100693702698,0.15139441192150116,0.019595429301261902
Marques Brownlee,PHcDrXeyguM,0.005483950488269329,0.05692954361438751,0.9375864863395691
Marques Brownlee,PHcDrXeyguM,0.07689402252435684,0.8333011865615845,0.08980479836463928
Marques Brownlee,PHcDrXeyguM,0.022262997925281525,0.07654668390750885,0.9011902809143066
Marques Brownlee,PHcDrXeyguM,0.023670364171266556,0.3025778532028198,0.673751711845398
Marques Brownlee,PHcDrXeyguM,0.0024740537628531456,0.021939804777503014,0.9755861759185791
Marques Brownlee,PHcDrXeyguM,0.004837926011532545,0.20481209456920624,0.7903499603271484
