Channel,Video_ID,Negative,Neutral,Positive
Marques Brownlee,iR9zBsKELVs,0.1830718070268631,0.555385410785675,0.26154279708862305
Marques Brownlee,iR9zBsKELVs,0.007904446683824062,0.20810271799564362,0.7839928269386292
Marques Brownlee,iR9zBsKELVs,0.13196901977062225,0.3675946295261383,0.5004363656044006
Marques Brownlee,iR9zBsKELVs,0.01887235790491104,0.1762867420911789,0.8048409223556519
Marques Brownlee,iR9zBsKELVs,0.057094886898994446,0.24852247536182404,0.6943826675415039
Marques Brownlee,iR9zBsKELVs,0.05626297369599342,0.6449252963066101,0.298811674118042
Marques Brownlee,iR9zBsKELVs,0.0016482132486999035,0.030892139300704002,0.9674596190452576
Marques Brownlee,iR9zBsKELVs,0.010976104997098446,0.07909706234931946,0.9099268317222595
Marques Brownlee,iR9zBsKELVs,0.025144897401332855,0.10368800163269043,0.8711671829223633
Marques Brownlee,iR9zBsKELVs,0.6261823773384094,0.29919344186782837,0.07462415099143982
Marques Brownlee,iR9zBsKELVs,0.4039325416088104,0.4785930812358856,0.11747435480356216
Marques Brownlee,iR9zBsKELVs,0.011396028101444244,0.06415661424398422,0.9244473576545715
Marques Brownlee,iR9zBsKELVs,0.04350074753165245,0.522864818572998,0.4336344003677368
Marques Brownlee,iR9zBsKELVs,0.1722410023212433,0.4752906560897827,0.352468341588974
Marques Brownlee,iR9zBsKELVs,0.07977468520402908,0.5497586727142334,0.3704666197299957
Marques Brownlee,iR9zBsKELVs,0.179275244474411,0.5828860998153687,0.23783864080905914
Marques Brownlee,iR9zBsKELVs,0.09924504160881042,0.7170946002006531,0.1836603432893753
