Channel,Negative,Neutral,Positive
Dave2D,0.14231919706770968,0.3164757782523633,0.541205022937634
Linus Tech Tips,0.2537017501089056,0.3863763906108512,0.3599218590157606
Marques Brownlee,0.12473892159757705,0.3228888703954764,0.5523722085771183
Mrwhosetheboss,0.21188574184612746,0.31705411130731437,0.4710601466511727
ShortCircuit,0.15161600427022465,0.309623996021763,0.5387600008920354
