route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
801,RDEC24-801-1_Weekday-00,61420081,,1,102,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420082,,1,161,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420083,,1,159,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420084,,1,105,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420085,,1,164,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420086,,1,103,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420087,,1,163,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420088,,1,162,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420089,,1,153,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420090,,1,106,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420091,,1,108,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420092,,1,107,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420093,,1,109,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420094,,1,110,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420095,,1,156,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420096,,1,155,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420097,,1,157,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420098,,1,169,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420099,,1,101,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420100,,1,170,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420101,,1,102,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420102,,1,103,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420103,,1,107,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420104,,1,152,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420105,,1,160,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420106,,1,162,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420107,,1,116,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420108,,1,164,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420109,,1,102,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420110,,0,105,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420111,,0,106,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420112,,1,161,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420113,,1,162,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420114,,0,110,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420115,,1,151,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420116,,0,111,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420117,,1,115,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420118,,0,167,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420119,,1,154,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420120,,0,102,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420121,,1,109,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420122,,1,155,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420123,,0,155,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420124,,0,156,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420125,,1,163,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420126,,1,161,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420127,,1,151,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420128,,0,161,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420129,,0,112,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420130,,1,153,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420131,,0,158,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420132,,0,160,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420133,,0,163,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420134,,0,172,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420135,,1,117,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420136,,0,171,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420137,,0,162,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420138,,1,156,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420139,,1,106,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420140,,1,155,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420141,,0,164,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420142,,1,109,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420143,,0,107,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420144,,0,105,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420145,,0,116,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420146,,0,109,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420147,,0,153,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420148,,0,110,801NB_RC_221121
801,RDEC24-801-1_Weekday-00,61420149,,1,118,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420150,,1,101,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420151,,1,152,801SB_RC_221121
801,RDEC24-801-1_Weekday-00,61420152,,1,154,801SB_RC_221121
