service_id,date,exception_type
DEC24-D02CAR-1_Weekday-KINGMA0,20250103,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250103,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250103,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250106,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250106,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250106,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250106,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250107,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250107,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250107,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250107,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250108,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250108,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250108,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250108,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250109,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250109,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250109,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250109,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250110,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250110,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250110,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250110,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250113,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250113,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250113,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250113,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250114,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250114,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250114,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250114,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250115,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250115,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250115,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250115,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250116,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250116,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250116,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250116,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250117,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250117,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250117,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250117,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250120,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250120,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250120,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250120,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250120,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250120,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250121,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250121,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250121,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250121,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250122,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250122,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250122,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250122,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250123,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250123,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250123,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250123,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250124,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250124,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250124,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250124,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250127,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250127,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250127,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250127,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250128,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250128,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250128,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250128,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250129,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250129,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250129,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250129,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250130,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250130,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250130,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250130,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250131,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250131,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250131,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250131,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250203,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250203,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250203,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250203,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250204,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250204,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250204,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250204,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250205,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250205,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250205,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250205,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250206,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250206,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250206,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250206,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250207,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250207,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250207,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250207,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250210,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250210,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250210,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250210,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250211,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250211,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250211,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250211,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250212,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250212,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250212,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250212,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250213,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250213,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250213,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250213,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250214,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250214,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250214,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250214,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250217,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250217,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250217,2
