route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
120-13186,DEC24-D18CAR-2_Saturday,60120001101731-DEC24,,0,1200400,1200110_DEC24,60966772-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001101830-DEC24,,0,1200500,1200110_DEC24,60966773-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001160858-DEC24,,1,1200400,1200116_DEC24,60966774-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001160702-DEC24,,1,1200100,1200116_DEC24,60966775-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001160800-DEC24,,1,1200200,1200116_DEC24,60966776-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001161153-DEC24,,1,1200100,1200116_DEC24,60966777-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001160957-DEC24,,1,1200500,1200116_DEC24,60966778-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001161450-DEC24,,1,1200400,1200116_DEC24,60966779-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001161055-DEC24,,1,1200300,1200116_DEC24,60966780-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001161253-DEC24,,1,1200200,1200116_DEC24,60966781-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001161349-DEC24,,1,1200602,1200116_DEC24,60966782-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001161553-DEC24,,1,1200500,1200116_DEC24,60966783-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001161651-DEC24,,1,1200300,1200116_DEC24,60966784-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001161752-DEC24,,1,1200100,1200116_DEC24,60966785-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001161859-DEC24,,1,1200602,1200116_DEC24,60966786-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001162003-DEC24,,1,1200400,1200116_DEC24,60966787-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001100536-DEC24,,0,1200200,1200110_DEC24,60966788-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001100633-DEC24,,0,1200400,1200110_DEC24,60966789-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001100731-DEC24,,0,1200500,1200110_DEC24,60966790-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001100827-DEC24,,0,1200300,1200110_DEC24,60966791-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001100925-DEC24,,0,1200100,1200110_DEC24,60966792-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001101345-DEC24,,0,1200300,1200110_DEC24,60966793-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001101021-DEC24,,0,1200200,1200110_DEC24,60966794-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001101108-DEC24,,0,1200602,1200110_DEC24,60966795-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001101250-DEC24,,0,1200500,1200110_DEC24,60966796-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001101441-DEC24,,0,1200100,1200110_DEC24,60966797-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-2_Saturday,60120001101155-DEC24,,0,1200400,1200110_DEC24,60966803-DEC24-D18CAR-2_Saturday
120-13186,DEC24-D18CAR-3_Sunday,70120001102023-DEC24,,0,1200200,1200110_DEC24,60966819-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001082123-DEC24,,0,1200400,1200108_DEC24,60966820-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001162106-DEC24,,1,1200300,1200116_DEC24,60966821-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001162208-DEC24,,1,1200100,1200116_DEC24,60966822-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001142346-DEC24,,1,1200500,1200114_DEC24,60966823-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001082323-DEC24,,0,1200300,1200108_DEC24,60966824-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001082223-DEC24,,0,1200500,1200108_DEC24,60966825-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001100441-DEC24,,0,1200100,1200110_DEC24,60966826-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001160607-DEC24,,1,1200300,1200116_DEC24,60966827-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001101631-DEC24,,0,1200400,1200110_DEC24,60966828-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001101926-DEC24,,0,1200100,1200110_DEC24,60966829-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001101731-DEC24,,0,1200500,1200110_DEC24,60966830-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001101831-DEC24,,0,1200300,1200110_DEC24,60966831-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001101530-DEC24,,0,1200200,1200110_DEC24,60966832-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001160706-DEC24,,1,1200100,1200116_DEC24,60966833-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001160806-DEC24,,1,1200200,1200116_DEC24,60966834-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001161156-DEC24,,1,1200100,1200116_DEC24,60966835-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001160903-DEC24,,1,1200400,1200116_DEC24,60966836-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001161001-DEC24,,1,1200500,1200116_DEC24,60966837-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001161057-DEC24,,1,1200300,1200116_DEC24,60966838-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001161256-DEC24,,1,1200200,1200116_DEC24,60966839-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001161356-DEC24,,1,1200400,1200116_DEC24,60966840-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001161456-DEC24,,1,1200500,1200116_DEC24,60966841-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001161556-DEC24,,1,1200300,1200116_DEC24,60966842-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001161656-DEC24,,1,1200100,1200116_DEC24,60966843-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001161802-DEC24,,1,1200200,1200116_DEC24,60966844-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001161903-DEC24,,1,1200400,1200116_DEC24,60966845-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001162003-DEC24,,1,1200500,1200116_DEC24,60966846-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001100541-DEC24,,0,1200200,1200110_DEC24,60966847-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001100934-DEC24,,0,1200100,1200110_DEC24,60966848-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001100639-DEC24,,0,1200400,1200110_DEC24,60966849-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001100737-DEC24,,0,1200500,1200110_DEC24,60966850-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001100835-DEC24,,0,1200300,1200110_DEC24,60966851-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001101031-DEC24,,0,1200200,1200110_DEC24,60966852-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001101130-DEC24,,0,1200400,1200110_DEC24,60966853-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001101229-DEC24,,0,1200500,1200110_DEC24,60966854-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001101330-DEC24,,0,1200300,1200110_DEC24,60966855-DEC24-D18CAR-3_Sunday
120-13186,DEC24-D18CAR-3_Sunday,70120001101429-DEC24,,0,1200100,1200110_DEC24,60966856-DEC24-D18CAR-3_Sunday
210-13186,DEC24-D18CAR-1_Weekday,10210003432104-DEC24,,0,2100800,2100343_DEC24,60967420-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003431959-DEC24,,0,2100300,2100343_DEC24,60967421-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003431934-DEC24,,0,2100400,2100343_DEC24,60967422-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003432029-DEC24,,0,2102502,2100343_DEC24,60967423-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003432303-DEC24,,0,2101800,2100343_DEC24,60967424-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003432209-DEC24,,0,2100100,2100343_DEC24,60967425-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003432134-DEC24,,0,2102300,2100343_DEC24,60967426-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003432406-DEC24,,0,2102502,2100343_DEC24,60967427-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003431850-DEC24,,0,2101600,2100343_DEC24,60967428-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003301748-DEC24,,1,2100400,2100330_DEC24,60967429-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003312014-DEC24,,1,2100100,2100331_DEC24,60967430-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003310540-DEC24,,1,2100700,2100331_DEC24,60967431-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003311828-DEC24,,1,2102502,2100331_DEC24,60967432-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003311947-DEC24,,1,2102300,2100331_DEC24,60967433-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003301908-DEC24,,1,2101300,2100330_DEC24,60967434-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003311904-DEC24,,1,2100800,2100331_DEC24,60967435-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003312046-DEC24,,1,2101600,2100331_DEC24,60967436-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003312149-DEC24,,1,2100300,2100331_DEC24,60967437-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003312117-DEC24,,1,2101800,2100331_DEC24,60967438-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003312222-DEC24,,1,2102502,2100331_DEC24,60967439-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003312336-DEC24,,1,2102300,2100331_DEC24,60967440-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003310616-DEC24,,1,2100400,2100331_DEC24,60967441-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003311731-DEC24,,1,2102100,2100331_DEC24,60967442-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003310455-DEC24,,1,2100200,2100331_DEC24,60967443-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003312434-DEC24,,1,2101800,2100331_DEC24,60967444-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003312534-DEC24,,1,2102502,2100331_DEC24,60967445-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003431706-DEC24,,0,2101700,2100343_DEC24,60967446-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003431733-DEC24,,0,2102300,2100343_DEC24,60967447-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003310553-DEC24,,1,2100300,2100331_DEC24,60967448-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003450517-DEC24,,0,2100900,2100345_DEC24,60967449-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003451717-DEC24,,0,2101300,2100345_DEC24,60967450-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003300645-DEC24,,1,2100900,2100330_DEC24,60967451-DEC24-D18CAR-1_Weekday
210-13186,DEC24-D18CAR-1_Weekday,10210003441655-DEC24,,0,2101200,2100344_DEC24,60967452-DEC24-D18CAR-1_Weekday
