Channel,Video_ID,Negative,Neutral,Positive
Linus Tech Tips,iZW-5gpCC_Q,0.05831766128540039,0.1763005405664444,0.7653817534446716
Linus Tech Tips,iZW-5gpCC_Q,0.47321251034736633,0.4123654365539551,0.11442208290100098
Linus Tech Tips,iZW-5gpCC_Q,0.40106770396232605,0.48881101608276367,0.11012127995491028
Linus Tech Tips,iZW-5gpCC_Q,0.15385106205940247,0.2681407332420349,0.5780081748962402
Linus Tech Tips,iZW-5gpCC_Q,0.21417805552482605,0.48873868584632874,0.2970832586288452
Linus Tech Tips,iZW-5gpCC_Q,0.4384388327598572,0.44993335008621216,0.11162783950567245
Linus Tech Tips,iZW-5gpCC_Q,0.03663543239235878,0.26896488666534424,0.6943997144699097
Linus Tech Tips,iZW-5gpCC_Q,0.06964533776044846,0.40504947304725647,0.5253051519393921
Linus Tech Tips,iZW-5gpCC_Q,0.41814863681793213,0.5199353098869324,0.061915963888168335
Linus Tech Tips,iZW-5gpCC_Q,0.5348124504089355,0.36674344539642334,0.09844415634870529
Linus Tech Tips,iZW-5gpCC_Q,0.062131285667419434,0.2746279239654541,0.6632407903671265
Linus Tech Tips,iZW-5gpCC_Q,0.1941433846950531,0.5266823768615723,0.2791742980480194
Linus Tech Tips,iZW-5gpCC_Q,0.03881745785474777,0.3690450191497803,0.5921375155448914
Linus Tech Tips,iZW-5gpCC_Q,0.0019012242555618286,0.031286466866731644,0.9668123126029968
