Channel,Video_ID,Negative,Neutral,Positive
Linus Tech Tips,G1aI7G9jevw,0.0738280862569809,0.30685368180274963,0.6193181872367859
Linus Tech Tips,G1aI7G9jevw,0.005377236288040876,0.24989984929561615,0.7447229027748108
Linus Tech Tips,G1aI7G9jevw,0.25189393758773804,0.5263960361480713,0.22171005606651306
Linus Tech Tips,G1aI7G9jevw,0.008857575245201588,0.11918589472770691,0.8719565272331238
Linus Tech Tips,G1aI7G9jevw,0.00211510737426579,0.030152784660458565,0.9677321314811707
Linus Tech Tips,G1aI7G9jevw,0.018392115831375122,0.4111804664134979,0.5704273581504822
Linus Tech Tips,G1aI7G9jevw,0.01438709907233715,0.2545934319496155,0.7310194969177246
Linus Tech Tips,G1aI7G9jevw,0.05024454742670059,0.3287341892719269,0.6210213303565979
Linus Tech Tips,G1aI7G9jevw,0.09380307793617249,0.48297303915023804,0.42322391271591187
Linus Tech Tips,G1aI7G9jevw,0.5162538290023804,0.4042336344718933,0.07951251417398453
Linus Tech Tips,G1aI7G9jevw,0.4769509732723236,0.4305432140827179,0.09250582754611969
Linus Tech Tips,G1aI7G9jevw,0.06493859738111496,0.4027736485004425,0.5322877764701843
Linus Tech Tips,G1aI7G9jevw,0.14659999310970306,0.6325625777244568,0.22083739936351776
Linus Tech Tips,G1aI7G9jevw,0.0031114581506699324,0.0781119093298912,0.9187766313552856
Linus Tech Tips,G1aI7G9jevw,0.07282957434654236,0.4501352906227112,0.4770351052284241
Linus Tech Tips,G1aI7G9jevw,0.03343559429049492,0.24450790882110596,0.7220564484596252
Linus Tech Tips,G1aI7G9jevw,0.1595577895641327,0.5006098747253418,0.3398323655128479
Linus Tech Tips,G1aI7G9jevw,0.004912577569484711,0.3297523260116577,0.6653351187705994
