Channel,Video_ID,Negative,Neutral,Positive
Linus Tech Tips,kNTLYY-8wUE,0.031797487288713455,0.11806312203407288,0.8501394391059875
Linus Tech Tips,kNTLYY-8wUE,0.02376413159072399,0.19733235239982605,0.7789035439491272
Linus Tech Tips,kNTLYY-8wUE,0.0015902110608294606,0.028435710817575455,0.9699740409851074
Linus Tech Tips,kNTLYY-8wUE,0.004859335720539093,0.1056414395570755,0.8894991874694824
Linus Tech Tips,kNTLYY-8wUE,0.03867952898144722,0.17721839249134064,0.7841020822525024
Linus Tech Tips,kNTLYY-8wUE,0.1693662703037262,0.3704241216182709,0.46020960807800293
Linus Tech Tips,kNTLYY-8wUE,0.15167172253131866,0.269974946975708,0.5783533453941345
Linus Tech Tips,kNTLYY-8wUE,0.028170445933938026,0.38456887006759644,0.5872607231140137
Linus Tech Tips,kNTLYY-8wUE,0.0032126265577971935,0.027021247893571854,0.9697661399841309
Linus Tech Tips,kNTLYY-8wUE,0.4674193561077118,0.3761223256587982,0.15645831823349
Linus Tech Tips,kNTLYY-8wUE,0.014899230562150478,0.12037000805139542,0.8647307753562927
Linus Tech Tips,kNTLYY-8wUE,0.001655241590924561,0.052019305527210236,0.946325421333313
Linus Tech Tips,kNTLYY-8wUE,0.0020403247326612473,0.013781856745481491,0.984177827835083
Linus Tech Tips,kNTLYY-8wUE,0.011364358477294445,0.1603977531194687,0.8282378911972046
Linus Tech Tips,kNTLYY-8wUE,0.006768246181309223,0.05352196469902992,0.9397097826004028
Linus Tech Tips,kNTLYY-8wUE,0.0015457648551091552,0.011897433549165726,0.9865568280220032
Linus Tech Tips,kNTLYY-8wUE,0.0024352851323783398,0.02061265893280506,0.976952075958252
Linus Tech Tips,kNTLYY-8wUE,0.005828221328556538,0.043099019676446915,0.9510727524757385
Linus Tech Tips,kNTLYY-8wUE,0.0641833245754242,0.33223405480384827,0.6035826802253723
Linus Tech Tips,kNTLYY-8wUE,0.1717274934053421,0.4178106188774109,0.4104618728160858
Linus Tech Tips,kNTLYY-8wUE,0.645620584487915,0.31682881712913513,0.037550605833530426
Linus Tech Tips,kNTLYY-8wUE,0.0027116339188069105,0.015276787802577019,0.9820115566253662
Linus Tech Tips,kNTLYY-8wUE,0.010954426601529121,0.05118316411972046,0.9378623962402344
Linus Tech Tips,kNTLYY-8wUE,0.9614704847335815,0.03445369377732277,0.004075745120644569
Linus Tech Tips,kNTLYY-8wUE,0.17692428827285767,0.4779779613018036,0.34509775042533875
Linus Tech Tips,kNTLYY-8wUE,0.0015506652416661382,0.015118209645152092,0.9833311438560486
