Channel,Video_ID,Negative,Neutral,Positive
Linus Tech Tips,esQLFQugzmI,0.6635202169418335,0.26980823278427124,0.06667158007621765
Linus Tech Tips,esQLFQugzmI,0.05550128594040871,0.4860398769378662,0.458458811044693
Linus Tech Tips,esQLFQugzmI,0.494169145822525,0.4046576917171478,0.10117316246032715
Linus Tech Tips,esQLFQugzmI,0.5296120047569275,0.38495194911956787,0.0854361429810524
Linus Tech Tips,esQLFQugzmI,0.6143189072608948,0.33204540610313416,0.05363573133945465
Linus Tech Tips,esQLFQugzmI,0.8417240977287292,0.12321168184280396,0.03506414592266083
Linus Tech Tips,esQLFQugzmI,0.6525498628616333,0.2834659218788147,0.06398423761129379
Linus Tech Tips,esQLFQugzmI,0.5995767712593079,0.3362838923931122,0.06413931399583817
Linus Tech Tips,esQLFQugzmI,0.46299493312835693,0.4106717109680176,0.12633338570594788
Linus Tech Tips,esQLFQugzmI,0.015628060325980186,0.1692536324262619,0.8151182532310486
Linus Tech Tips,esQLFQugzmI,0.4948372542858124,0.34080278873443604,0.16436000168323517
Linus Tech Tips,esQLFQugzmI,0.020136874169111252,0.16870032250881195,0.8111628293991089
Linus Tech Tips,esQLFQugzmI,0.10995004326105118,0.40237200260162354,0.48767802119255066
Linus Tech Tips,esQLFQugzmI,0.5046848654747009,0.34844720363616943,0.14686791598796844
Linus Tech Tips,esQLFQugzmI,0.2932888865470886,0.48955368995666504,0.2171574831008911
Linus Tech Tips,esQLFQugzmI,0.5152245163917542,0.35495781898498535,0.12981772422790527
Linus Tech Tips,esQLFQugzmI,0.07386434823274612,0.42421162128448486,0.5019240379333496
Linus Tech Tips,esQLFQugzmI,0.3151511549949646,0.5644122958183289,0.12043660879135132
Linus Tech Tips,esQLFQugzmI,0.13475154340267181,0.41114768385887146,0.45410075783729553
Linus Tech Tips,esQLFQugzmI,0.07371661812067032,0.4615477919578552,0.46473556756973267
Linus Tech Tips,esQLFQugzmI,0.01062573492527008,0.1355825662612915,0.8537917137145996
Linus Tech Tips,esQLFQugzmI,0.07815039157867432,0.6126728057861328,0.3091767728328705
Linus Tech Tips,esQLFQugzmI,0.014872069470584393,0.2322189062833786,0.7529090046882629
Linus Tech Tips,esQLFQugzmI,0.12037719041109085,0.5165730118751526,0.36304986476898193
Linus Tech Tips,esQLFQugzmI,0.0661914199590683,0.3959153890609741,0.5378931164741516
Linus Tech Tips,esQLFQugzmI,0.32893094420433044,0.45510730147361755,0.21596172451972961
Linus Tech Tips,esQLFQugzmI,0.027642905712127686,0.23515862226486206,0.7371984720230103
Linus Tech Tips,esQLFQugzmI,0.5690943002700806,0.34573131799697876,0.08517435938119888
Linus Tech Tips,esQLFQugzmI,0.4372488558292389,0.3984624743461609,0.16428866982460022
Linus Tech Tips,esQLFQugzmI,0.00634582806378603,0.05881360173225403,0.9348406195640564
Linus Tech Tips,esQLFQugzmI,0.002642042003571987,0.034636080265045166,0.9627218842506409
Linus Tech Tips,esQLFQugzmI,0.051769908517599106,0.33959078788757324,0.6086392998695374
