Channel,Video_ID,Negative,Neutral,Positive
Linus Tech Tips,kjgx4-gxdwo,0.4579288363456726,0.42293551564216614,0.11913559585809708
Linus Tech Tips,kjgx4-gxdwo,0.0015601019840687513,0.05314663425087929,0.9452932476997375
Linus Tech Tips,kjgx4-gxdwo,0.029083354398608208,0.21305492520332336,0.7578617334365845
Linus Tech Tips,kjgx4-gxdwo,0.5522328615188599,0.39906999468803406,0.048697132617235184
Linus Tech Tips,kjgx4-gxdwo,0.3025740087032318,0.46780890226364136,0.22961711883544922
Linus Tech Tips,kjgx4-gxdwo,0.030861573293805122,0.08790775388479233,0.8812307119369507
Linus Tech Tips,kjgx4-gxdwo,0.23424306511878967,0.5699033737182617,0.19585353136062622
Linus Tech Tips,kjgx4-gxdwo,0.03205177187919617,0.1707518845796585,0.7971962690353394
Linus Tech Tips,kjgx4-gxdwo,0.04125698655843735,0.09609530866146088,0.8626477122306824
Linus Tech Tips,kjgx4-gxdwo,0.9518133401870728,0.043546248227357864,0.00464039808139205
Linus Tech Tips,kjgx4-gxdwo,0.018772218376398087,0.16364136338233948,0.8175864815711975
Linus Tech Tips,kjgx4-gxdwo,0.032749492675065994,0.08467129617929459,0.8825792074203491
Linus Tech Tips,kjgx4-gxdwo,0.00772034702822566,0.022310912609100342,0.9699687361717224
Linus Tech Tips,kjgx4-gxdwo,0.012003637850284576,0.10770096629858017,0.8802953958511353
Linus Tech Tips,kjgx4-gxdwo,0.003665279597043991,0.018225617706775665,0.9781091213226318
Linus Tech Tips,kjgx4-gxdwo,0.4489547908306122,0.37410983443260193,0.17693540453910828
Linus Tech Tips,kjgx4-gxdwo,0.28834453225135803,0.6157076954841614,0.0959477350115776
Linus Tech Tips,kjgx4-gxdwo,0.1563030481338501,0.2994324266910553,0.544264554977417
Linus Tech Tips,kjgx4-gxdwo,0.06345321238040924,0.22316423058509827,0.7133825421333313
Linus Tech Tips,kjgx4-gxdwo,0.04071219637989998,0.14848002791404724,0.8108077645301819
Linus Tech Tips,kjgx4-gxdwo,0.65245121717453,0.277017205953598,0.07053167372941971
Linus Tech Tips,kjgx4-gxdwo,0.676914393901825,0.2994391918182373,0.023646501824259758
Linus Tech Tips,kjgx4-gxdwo,0.016787610948085785,0.04141439124941826,0.9417980313301086
Linus Tech Tips,kjgx4-gxdwo,0.007931618019938469,0.1002989113330841,0.8917694687843323
Linus Tech Tips,kjgx4-gxdwo,0.06881116330623627,0.1782497763633728,0.752938985824585
Linus Tech Tips,kjgx4-gxdwo,0.5359504222869873,0.37060365080833435,0.09344585239887238
Linus Tech Tips,kjgx4-gxdwo,0.18943962454795837,0.4959658682346344,0.31459444761276245
Linus Tech Tips,kjgx4-gxdwo,0.9199619889259338,0.07264394313097,0.00739404046908021
Linus Tech Tips,kjgx4-gxdwo,0.04294787719845772,0.3322392404079437,0.6248128414154053
Linus Tech Tips,kjgx4-gxdwo,0.39462700486183167,0.48803210258483887,0.1173408254981041
Linus Tech Tips,kjgx4-gxdwo,0.0810663253068924,0.230201855301857,0.6887317895889282
Linus Tech Tips,kjgx4-gxdwo,0.020159192383289337,0.1825554370880127,0.7972853779792786
Linus Tech Tips,kjgx4-gxdwo,0.297494113445282,0.413897305727005,0.2886086106300354
Linus Tech Tips,kjgx4-gxdwo,0.9428443908691406,0.051601700484752655,0.005553913302719593
Linus Tech Tips,kjgx4-gxdwo,0.024700835347175598,0.1266060322523117,0.8486931920051575
Linus Tech Tips,kjgx4-gxdwo,0.8472292423248291,0.1363631784915924,0.016407614573836327
Linus Tech Tips,kjgx4-gxdwo,0.0644533708691597,0.23305867612361908,0.7024879455566406
Linus Tech Tips,kjgx4-gxdwo,0.9118824005126953,0.07864835858345032,0.009469154290854931
Linus Tech Tips,kjgx4-gxdwo,0.07780435681343079,0.17773877084255219,0.7444568276405334
Linus Tech Tips,kjgx4-gxdwo,0.0419333353638649,0.20071788132190704,0.7573487758636475
Linus Tech Tips,kjgx4-gxdwo,0.06606628000736237,0.3511025607585907,0.5828311443328857
Linus Tech Tips,kjgx4-gxdwo,0.027807915583252907,0.09106040745973587,0.8811317086219788
Linus Tech Tips,kjgx4-gxdwo,0.49982333183288574,0.29459863901138306,0.2055780291557312
Linus Tech Tips,kjgx4-gxdwo,0.04202907159924507,0.28302693367004395,0.6749440431594849
Linus Tech Tips,kjgx4-gxdwo,0.09340620040893555,0.49774760007858276,0.4088462293148041
Linus Tech Tips,kjgx4-gxdwo,0.0776541531085968,0.2550871968269348,0.6672586798667908
Linus Tech Tips,kjgx4-gxdwo,0.22376801073551178,0.3575664460659027,0.4186655282974243
Linus Tech Tips,kjgx4-gxdwo,0.2251974195241928,0.4338831901550293,0.3409194052219391
Linus Tech Tips,kjgx4-gxdwo,0.005324813071638346,0.023944685235619545,0.9707304835319519
Linus Tech Tips,kjgx4-gxdwo,0.21210356056690216,0.6528050303459167,0.1350914090871811
Linus Tech Tips,kjgx4-gxdwo,0.01648988202214241,0.04786262661218643,0.9356474280357361
Linus Tech Tips,kjgx4-gxdwo,0.00563923129811883,0.09122015535831451,0.9031405448913574
Linus Tech Tips,kjgx4-gxdwo,0.004131080582737923,0.04258409142494202,0.9532848000526428
Linus Tech Tips,kjgx4-gxdwo,0.0014393385499715805,0.010970527306199074,0.9875900745391846
Linus Tech Tips,kjgx4-gxdwo,0.009682015515863895,0.3368827998638153,0.6534351110458374
Linus Tech Tips,kjgx4-gxdwo,0.9287124276161194,0.06076433137059212,0.01052316278219223
